Society_Polity,State_Formation_low,State_Formation_high,formation,Adulthood_Date,Peak_Power,Collapse_low,Collapse_high,collapse,Approx_age,age,Political_Type,Political_Sub_Type,Region,Capital,Source,Proximate_Cause,Underlying_Cause,Collapse_Tra,Notes,Relatationship,Capital_1,lat1,continent,lon1,Capital_2,lat2,lon2,Capital_3,lat3,lon3,violience_attractor,censored
Early Shang Dynasty/Erligang Empire,-1650,-1600,-1625,,-1500,-1251,,-1251,349-399 years,374,Empire,unknown,Eastern Asia,Yinxu,"Peak and adulthood from Taagepera (1978), start and end from Li (2002), early date from Sehat, other dates verified from Seshat.",,,,,Continous with Xia Dynasty.,Yinxu,36.12666667,Asia,114.3138889,,,,,,,,FALSE
Hyksos,-1650,,-1650,-1650,-1650,-1550,,-1550,100-100 years,100,Empire,unknown,Western Asia,Avaris,Taagepera (1978).,Conquered by the Egyptians.,,,,,Avaris,30.787419,Africa,31.821367,,,,,,,,FALSE
Mycenaen Greece (Mycenaean),-1600,,-1600,,,-1180,-1065,-1122.5,420-535 years,477.5,Kingdom,unknown,Southern Europe,"Mycenae (largest, not necessarily capital)","Shelmerdine (1997), Middleton (2017). Verified with Mee (2016)",,"Climate change, change in warfare, earthquakes, change in trading,",Collapse.,"Late Helladic (1600-1510/1500), early palatial (1510/1500-1390), Palatial (1390-1180) and Postpalatial (1185-1065).",,Mycenae,37.73027778,Europe,22.7575,,,,,,,,FALSE
New Egyptian Kingdom,-1550,,-1550,-1500,-1450,-1070,-1069,-1069.5,480-481 years,480.5,Empire,unknown,Northern Africa,"Thebes, Akhetaten, Thebes, Pi-Ramesses, Memphis","Taagepera (1978) for beginning and peak, Shaw, I (2000) for end. High state end from (Seshat (2020).",,,,,,Thebes,25.72055556,Africa,32.61027778,Akhetaten,27.645278,30.896389,Pi-Ramesses,30.79888889,31.83583333,,FALSE
Middle Assyrian,-1420,-1375,-1397.5,-1090,-1080,-1050,,-1050,325-370 years,347.5,Empire,unknown,Western Asia,Aššur,"Taagepera (1978), Chavalas (2016) for state formation low range",,,,Encyclopedia ok Empire gives little data regarding collapse. Mentions only a near-total lack of sources between 1057 BCE and 934 BCE,,Aššur,35.45666667,Asia,43.2625,,,,,,,,FALSE
Late Shang Dynasty,-1250,,-1250,,-1200,-1046,,-1046,204-204 years,204,Empire,Imperial Dynasty,Eastern Asia,,Late end date from Taagepera (1978) and other dates from Seshat (2020),Overthrown by Zhou King Zhou Wu Wang at the battle of Muye in 1046 B . Suceeded by the Western Zhou.,,,,Continous with Early Shang.,"Highly uncertain and moved multiple times. Likely originaklly Shang, near modern day Zhengzhou.",34.764,Asia,113.684,,,,,,,,FALSE
Western Zhou,-1046,-1027,-1036.5,,-950,-795,-771,-783,232-275 years,253.5,Empire,Imperial Dynasty,Eastern Asia,Haojing,"Early state formation from Qiu (1993) and late from Wilkinson (2018), peak date and ealr end from Seshat (2020).",The Marquess of Shen killed the 12th Zhou king and sacked the capital over a succession dispute in 771 B . He then moved the capital to Luoyang to being the Eastern Zhou.,,,Introduced the Mandate of Heaven.,Elite migration from Late Shang.,Haojing,34.23842222,Asia,108.7648167,,,,,,,,FALSE
Kingdom of Israel,-930,,-930,,,-722,,-722,208-208 years,208,Kingdom,unknown,Western Asia,Samaria,Maeir (2012),Conquest by Sargon II (Assyria),,,State formation dates are highly uncertain and contested.,,,,,,,,,,,,,FALSE
Kingdom of Judah,-930,,-930,,,-586,,-586,344-344 years,344,Kingdom,unknown,Western Asia,Jerusalem,Meir (2012),Destruction by Nebuchadnezzar II (Babylon).,,,State formation dates are highly uncertain and contested.,,,,,,,,,,,,,FALSE
Phrygian Kingdom,-900,-800,-850,-760,-750,-700,-680,-690,100-220 years,160,Empire,unknown,Western Asia,Gordion,"Taagepera (1978), early state formation and late end from Seshat (2020), late end date from Newington (2016)",Conquered by the Lydians in 695 B .,,,,Continous with Talba Kingdoms.,Gordion,39.655,Asia,31.99416667,,,,,,,,FALSE
New Assyrian (Neo-Assyrian),-900,,-900,-700,-670,-616,-608,-612,284-292 years,288,Empire,unknown,Western Asia,"Aššur, Kalhu, Dur-Sharrukin
Dur-Sharrukin, Nineveh, Harran",Taagepera (1978). Note on 9th century temporary collapse from Chavalas (2016),Conquered by Medea and Babylon.,,,"Temporary decline towards end of 9th century BCE until 745BCE with an insurrection, plagues and revolts following increasing wealth and power of provincial goverments and corresponding weakening of monarchy. Decay begins in 616 B .",,Aššur,35.45666667,Asia,43.2625,Kalhu,36.09805556,43.32888889,Dur-Sharrukin,36.50944444,43.22944444,,FALSE
Urartu Empire,-858,-830,-844,-810,-800,-714,-640,-677,116-218 years,167,Empire,unknown,Western Asia,"Arzashkun, Tushpa","Taagepera (1978), early state formation and late state end from Redgate (2016). Should preference late end and early state formation.",Assyrian conquest.,,,Decline starts in 750 B .,,Arzashkun,39.031111,Asia,43.359722,Tushpa,38.499667,43.341601,,,,,FALSE
Carthage,-814,,-814,,-220,-146,,-146,668-668 years,668,Empire,unknown,Northern Africa,Carthage,"Taagepera (1979), Ameling (2011). Notes from Hoyos (2016).",Conquest by Romans.,,,War with Romans decreased territory of Carthage from the first Punic War of 264-241. By 201 Carthage was confined to Libya and became virtually a Roman 'client state'.,,Carthage,36.8528,Africa,10.3233,,,,,,,,FALSE
Eastern Zhou,-770,,-770,,,-256,-249,-252.5,514-521 years,517.5,Empire,Imperial Dynasty,Eastern Asia,"Luoyi (modern Luoyang, Henan Province)",Late state end from Qiu (1993) and early from Wilkinson (2018),,,,,,Luoyi,34.66972222,Asia,112.4422222,,,,,,,,FALSE
Kushite Kingdom,-760,,-760,,-663,-656,-350,-503,104-410 years,257,Kingdom,unknown,Northern Africa,"Napata, Memphis","Seshat (2020), late end date, proximate cause of collapse and note on early end date from Welsby (2016).",Collapse in 350CE; how and why it collapsed is unclear. Possibly affected by: a decline in trade due to collapse of Roman empire and shift of trade routes to Red sea; 4th century conflicts with the Aksum.,,,It is unclear and debated as to whether this was a centralised polity. Kushites forced out of Egypt by Assyria in 656BCE but Welsby (2016) argues that this did not have any profound political consequences; dynasty stayed in power.,,Napata,18.53,Africa,31.84,Memphis,29.84472222,31.25083333,,,,,FALSE
Roman Kingdom,-754,-716,-735,,-535,-509,,-509,207-245 years,226,Kingdom,unknown,Southern Europe,Rome,Seshat (2020),Transition to the Roman Republic after the last king Lucius Tarquinius Superbus  was expelled due to his tyrannical excesses.,,Transformation into the Roman Replublic,"716 B  date marks the death of Romulus, the legendary founder of Rome.",,Rome,41.88333333,Europe,12.5,,,,,,,,FALSE
Saite  Period Egypt,-715,-664,-689.5,-715,-550,-525,,-525,139-190 years,164.5,Empire,unknown,Northern Africa,"Sais, Mendes, Sebennytos",Taagepera (1978). High state formation from Seshat (2020),Persian conquest.,,,Late state formation date appears to be more accurate than the Taagepera date.,,Sais,30.96472222,Africa,30.76833333,Mendes,30.95833333,31.51583333,Sebennytos,30.96666667,31.25,,FALSE
Lydia / Kingdom of Lydia,-700,-670,-685,-610,-585,-546,,-546,124-154 years,139,Empire,unknown,Western Asia,Sardis,"Taagepera (1978), late state formation from Seshat (2020), note on the dynasty covered by entry from Llewellyn-Jones (2016)",Conquest by Persians.,,,Entry refers to the third Lydian dynasty the Mermanid dynasty which is the only one covered by contemporary historical records.,Unknown.,Sardis,38.48833333,Asia,28.04027778,,,,,,,,FALSE
Median,-700,,-700,,-585,-550,,-550,150-150 years,150,Empire,unknown,Western Asia,Ecbatana,"Taagepera (1979), Notes on unity of the state and lack of data from Llewellyn-Jones (2016)",Conquest by Persians.,,,"First mention by Assyrians in 835 B , but no unified state until 700 B. A loose confederacy of tribes, unified into conquering force only when required. Poor data for the period 610-550BC.",,Ecbatana,34.80638889,Asia,48.51611111,,,,,,,,FALSE
New Babylonian Empire/Neo Babylonian/ Chaldean Dynasty,-626,-610,-618,-610,-562,-539,,-539,71-87 years,79,Empire,unknown,Western Asia,"Babylon, Tayma",Taagepera (1978). Verified with Beaulieu (2016),Persian conquest.,,,,,Babylon,32.53638889,Asia,44.42083333,Tayma,27.62972222,38.54388889,,,,,FALSE
Maghada,-600,,-600,-300,-272,-184,,-184,416-416 years,416,Empire,unknown,Southern Asia,"Rajagriha (Girivraj)
Later, Pataliputra (modern-day Patna)","Taagepera (1979), verified with Majumdar (2016)",,,,"Shrinks to core area in end date, but not entirely destroyed. A number of distinct dynasties throughout history of kingdom",,Rajagriha,25.03,Asia,85.42,Pataliputra,25.6125,85.128333,,,,,FALSE
Achaemenid Persia,-580,-550,-565,,-500,-330,,-330,220-250 years,235,Empire,unknown,Western Asia,"Babylon (main capital), Pasargadae, Ecbatana, Susa, Persepolis","Taagepera (1979), late state formation and confirmation from Seshat (2020)",Conquest by Alexander the Great and his Macedonian army.,,,,Continous with the Lydian Empire.,Babylon,32.53638889,Asia,44.42083333,Pasargadae,30.2,53.179444,Ecbatana,34.80638889,48.51611111,,FALSE
Roman Republic,-509,,-509,0,0,-27,,-27,482-482 years,482,Empire,unknown,Southern Europe,Rome,"Taagepera (1979),note on civil wars from Hollander (2016)","Not quite a collapse, but a transition. Octavian granted as first Roman emperor by Senate.",,,A series of civil wars in the last two decades of the Republic,,Rome,41.88333333,Europe,12.5,,,,,,,,FALSE
Early Wei Dynasty,-488,,-488,,-353,-225,,-225,263-263 years,263,Kingdom,unknown,Eastern Asia,Daliang,Seshat (2020),Declined after a loss to the Qi in 341 B . Conquered by the Qin in 225 B .,,,,,Daliang,34.798,Asia,114.308,,,,,,,,FALSE
Athenian Empire,-480,,-480,-454,,-404,,-404,76-76 years,76,Empire,unknown,Southern Europe,Athens,Hirsch (2016),Surrender to Spartans at the end of three-decade long Peloponnesian War,War began by Spartans because of threat posed by Athenian Empire,,A second 'Athenian empire' emerged in 377 with an alliance between Athens and several states but had a weak financial base because did not demand tribute. Athenian ambitions antagonised member states and alliance soon fell apart.,,,,,,,,,,,,,FALSE
Interoccupation Egyptian Dynasties,-404,,-404,,,-343,,-343,61-61 years,61,Kingdom,Dynasty,Northern Africa,"Mephis, Mendes",Seshat (2020),Overthrow by Nectanebo I with the assistance of the Greeks.,,,,,Mephis,29.84472222,Africa,31.25083333,Mendes,30.958333,31.515833,,,,,FALSE
Kingdom of Epirus,-370,,-370,,,-233,,-233,137-137 years,137,Kingdom,unknown,Southern Europe,,Gilley (2016),Rebellion against and murder of  Deidamia II?,,,,,,,,,,,,,,,,FALSE
Macedonian Empire,-358,,-358,,,-301,-168,-234.5,57-190 years,123.5,Empire,unknown,Southern Europe,,Gilley (2016),"Early end date: Defeated by an alliance of Cassander, Ptolemy, and Seleucus at a battle at Ipsus, Asia Minor in 301BCE- empire partitioned into distinct kingdoms. Late end date: became Roman provinces in 168BC",,,Succession disputes from Alexander's death (323) until defeat ad partition in 301. Start date refers to first victories of Macedonian Empire against Northen tribes (358BCE),,,,,,,,,,,,,FALSE
Nanda Empire,-344,,-344,,,-324,,-324,20-20 years,20,Empire,Dynasty,Southern Asia,Pataliputra,Ghosh (2016).,Usurped by Chandragupta Maurya (324BCE),,,,,,,,,,,,,,,,FALSE
Kingdom of Armenia,-331,,-331,,,428,,428,759-759 years,759,Kingdom,unknown,Southern Asia,"Armavir (331–210 BC), Yervandashat (210–176 BC), Artashat (176–77 BC; 69–120 AD), Tigranocerta (77 BC–69 AD), Vagharshapat (120–330), Dvin (336–428).",Redgate (2016),Taken under Persian rule 428 CE,"Invaded by the Sassinids (Redgate, 2016).",,"The kingdom only had an empire briefly during the first century BCE. In the latter centuries in largely served as a vassal or buffer state for the Roman Empire, Carthage and Sassanid Empire. Hence it's reign could be seen as ending much earlier. It was composed of three royal dynasties: Orontid (321 BC–200 BC),[4][5] Artaxiad (189 BC–12 AD) and Arsacid (52–428).",,,,,,,,,,,,,FALSE
Mauryan Empire,-327,-322,-324.5,,-269,-187,,-187,135-140 years,137.5,Empire,unknown,Southern Asia,Pataliputra,"Seshat (2020), verified with Chakravarti (2016)",Decline after the death of Ashoka followed by assasination of Brihadratha by his military commander,,,,,Pataliputra,25.6125,Asia,85.12833333,,,,,,,,FALSE
Kingdom of Lysimachus,-323,,-323,,,-281,,-281,42-42 years,42,Kingdom,unknown,Southern Europe,Lysimacheia,Thomas (2016),Defeated by Seleucus,,,,,,,,,,,,,,,,FALSE
Ptolemaic Kingdom,-323,,-323,-323,301,-30,,-30,293-293 years,293,Empire,unknown,Northern Africa,Alexandria,"Taagepera (1979), verified by Seshat (2020) and Fischer-Bovet (2016).",Conquest by Romans after the suicide of Cleopatra VII.,,,Longest-lived foreign dynasty to rule over Egypt.,,Alexandria,31.2,Africa,29.916667,,,,,,,,FALSE
Seleucid Empire,-311,,-311,-540,-301,-64,-63,-63.5,247-248 years,247.5,Empire,unknown,Western Asia,Seleucia (305–240 BC) Antioch (240–63 BC),"Taagepera (1979), late state end from Seshat (2020).",Slow decline followed by Roman conquest.,,,,,Seleucia (present day Baghdad governate).,33.094444,Asia,44.522222,"Antioch (modern day Antakya, Turkey)",36.2055,36.171806,,,,,FALSE
Pontic Empire,-302,,-302,,,-63,62,-0.5,239-364 years,301.5,Empire,unknown,Eastern Europe,,Thomas (2016),"Pontic empire much reduced by 63BCE through wars with the Romans - Pontic ruler Mithradates took his, and some of his families lives. Lingered as a ""shadow kingdom"" until 62CE",,,,,,,,,,,,,,,,FALSE
Nabataean Kingdom,-300,-1,-150.5,,,106,,106,107-406 years,256.5,Kingdom,unknown,Western Asia,Petra,Nehme (2016),Annexed by Emporer Trajan of the Romans,Decrease in wealth and political influence due to transfer of overland trade to maritime routes from 1st century CE.,,Early start date: important kingdom in Transjordan somewhere between late 4th and 2nd century BC. Late start date: urbanised with a capital at Petra by end of the 1st century BC.,,,,,,,,,,,,,FALSE
Kingdom of Pergamon (Attalids),-281,-241,-261,,,133,,133,374-414 years,394,State,City-State,Western Asia,Pergamon,Kosmetatou (2016),Attalos III bequeathed the kingdom to the Romans upon their death in 133CE,,,Kingdom officially created in 241 following a victory against the Galatians. Early start date (281) refers to the defeat of Lysimachos and the subsequent gradual emancipation of Pergamon from the Kingdom of Syria.,,,,,,,,,,,,,FALSE
Greco-Bactrian Kindgom,-270,-248,-259,,-180,-135,-130,-132.5,113-140 years,126.5,Kingdom,unknown,Central Asia,Bactria,"Seshat (2020), Taagepera (1979 for high state formation and low state end. Verified with Mairs (2016)",Conquered by Nomadic peoples who were pushed westward by Chinese state expansion.,,,"Split into East and West in 150 BCE, Eastern Bactria conquered in 58 BCE.",,Bactria,36.7581,Asia,66.8989,,,,,,,,FALSE
Qin (Ch'in) Empire,-250,-221,-235.5,,-215,-206,,-206,15-44 years,29.5,Empire,Imperial Dynasty,Eastern Asia,Xianyang,"Taagepera (1979), Qui (1998) and Wilkinson (2018) for later state formation dates. Peak date from Seshat (2020). Verified with Pines (2016)",Defeated by the Chu.,,,,,Xianyang,34.35,Asia,108.716667,,,,,,,,FALSE
Parthian Empire,-247,-171,-209,-60,0,40,227,133.5,211-474 years,342.5,Empire,unknown,Western Asia,Ctesiphon,"Taagepera (1979), early end date and late state formation from Seshat (2020), early start date and note 2CE internal strife from Gregoratti (2016)",Sassanid conquest.,,,Some years of internal strife and anarchy 2CE during which Rome tried to impose its own candidates on the Parthion throne.,,Ctesiphon,33.09361111,Asia,44.58055556,,,,,,,,FALSE
Hsiung-Nu (Xiongnu),-230,-209,-219.5,-190,,-80,-60,-70,129-170 years,149.5,Confederacy,unknown,Eastern Asia,Longcheng,"Taagepera (1979), late state formation and end dates from Qiu (1993)","Fragmentation, parts submit to China.","Internal succession struggles, famines and military pressure from China (Seshat, 2020). Elite conflict and confict with Han/Xianbei. Disputes over leadership led to some settling in Northern China (Southern Xiongnu) and warring with the northern Xiongnu.",,,,Longcheng (near modern day Khoshoo Tsaidam),47.7666636,Asia,102.7666636,,,,,,,,FALSE
Western Han,-206,-202,-204,-90,-50,8,25,16.5,210-231 years,220.5,Empire,Imperial Dynasty,Eastern Asia,"Chang'an (206 B –9  ,), Luoyang (23–  , 25 ),","Taagepera (1979), Qiu (1998) for early state end, Wilkinson (2018) for late formation and late end, Verified with De Crespigny (2016).",Overthrown by Wang Mang.,,,,,Chang'an,34.26666667,Asia,108.9,Luoyang,34.66972222,112.4422222,,,,,FALSE
Numidia,-202,,-202,,,46,,46,248-248 years,248,Confederacy,Kingdom,Northern Africa,Cirta,"McCarty, 2012",Annexed by Rome.,,,,,,,,,,,,,,,,FALSE
Andhra (Satavahana Empire),-200,-100,-150,-170,-150,203,250,226.5,303-450 years,376.5,Empire,unknown,Southern Asia,"Pratishthana, Amaravati (India)","Taagepera (1979), late state formation and early state end from Seshat (2020)",,,,Decline begins in 195  .,,Pratishthana,19.48,Asia,75.38,Amaravati,16.57343611,80.35821667,,,,,FALSE
Shunga Kingdom,-187,,-187,,,,-75,-75,112-112 years,112,Kingdom,unknown,Southern Asia,Pataliputra,Ghosh (2016),Elite fragmentation.,Elite fragmentation.,,,,,,,,,,,,,,,FALSE
Teotihuacan,-150,1,-74.5,,,550,650,600,549-800 years,674.5,Empire,Republic,Central America,Teotihuacan,"Cowgill (1999) for republic designation and state formation, Manzanilla (2015) for causes and Robertson (2016) for low state formation and causes. The late collapse date is the beginning of the Epiclassic period (Nichols, 2015).",Popular revolt.,"Inequality, elite mismanagement, elite conflict and trade/economic decline. Decline set in from 550 CE. Population may have dropped from a peak of 900,000 to less than 20,000.",Collapse.,Teotihuacan appears to have had autocratic roots before becoming more egalitarian and potentially a republic at around 200 CE.The population likely dropped from a peak of 900k to less than 20k during the collapse.,,,,,,,,,,,,,FALSE
Goguryeo Kingdom,-75,,-75,,,668,,668,743-743 years,743,State,unknown,Eastern Asia,,Mohan (2016),Fell to joint Silla-Tang forces,,,,,,,,,,,,,,,,FALSE
Indo-Scythian (Saka) Kingdom,-58,,-58,,,,100,100,158-158 years,158,Kingdom,unknown,Central Asia,,Ghosh (2016),Supplanted by the Indo-Parthian Kingdom,,,,,,,,,,,,,,,,FALSE
Silla Kingdom,-57,356,149.5,,,780,935,857.5,424-992 years,708,Kingdom,unknown,South-Eastern Asia,Gyeongju,Lee and Leidy (2013),Fragmentation and invasion by the Goryeo Dynasty. Rebellion against taxation after Queen Jinseong (887-897) passed an amnesty for a year of tax.,,,"57 BCE date is likely a fabrication. Likely origin was in the late 3rd century, with the policy becoming independent in the 5th century.",,,,,,,,,,,,,FALSE
(Western) Roman Empire,-27,,-27,,117,476,,476,503-503 years,503,Empire,unknown,Southern Europe,Rome,"Taagepera (1979), Middleton (2017), Tainter (1990), Turchin (2009), Seshat (2020). Verified by Hollander (2016), Pollard (2016), Potter (2016).",Conquest by Visigoths and Vandals.,"Climate change, barbarians, environmental degradation, complexity, inequality.",Collapse,Partition into Eastern and Western Rome in 395  . Sacked by Visigoths in 410   and then Vandals in 455 . In 476 Odoacer deposed Romulus Augustulus but the emperor had effectively lost control of the Western domains.,,Rome,41.88333333,Europe,12.5,,,,,,,,FALSE
Baekje Kingdom,-18,234,108,,,660,663,661.5,426-681 years,553.5,Kingdom,unknown,South-Eastern Asia,"Wirye, Ungjin, Sabi","Lee and Leidy (2013), end dates verified by and early start date disputed by (Mohan, 2016). Verified by Mohan (2016)",Invasion by the Tang Dynasty (Joint Silla-Tang forces),,,,,,,,,,,,,,,,FALSE
Xin,9,,9,,,23,,23,14-14 years,14,Empire,Imperial Dynasty,Eastern Asia,Chang'an,Wilkinson (2018),,Coup (Wilkinson (2018).,,,,Chang'an,34.26666667,Asia,108.9,,,,,,,,FALSE
Western Huns,20,48,34,,,50,216,133,2-196 years,99,Confederacy,unknown,Eastern Asia,Unclear,"Taagepera (1979), Qiu (1993) for late state formation and end dates",,,,,,Unclear,,,,,,,,,,,FALSE
(Indo-) Parthian kingdom,20,,20,,,,226,226,206-206 years,206,Kingdom,unknown,Western Asia,,Ghosh (2016),Invasion by the Kushans,,,Formation date (20CE) refers to the first year of Gondphares reign; the founder of the dynasty. Based on the Takht-I Bahi Kharoshthi inscription.,,,,,,,,,,,,,FALSE
Eastern Han,25,27,26,88,100,200,220,210,173-195 years,184,Empire,Imperial Dynasty,Eastern Asia,"Luoyang (25 –190  ), Chang'an (190-195  ), 
Xuchang
(196–220  )","Taagepera (1979), late state formation and end dates by Qiu (1993) and Wilkinson (2018), Verified by De Crespigny 2016).",Split apart by warlords.,,,,,Luoyang,34.66972222,Asia,112.4422222,Chang'an,34.26666667,108.9,Xuchang,34.037,113.852,,FALSE
Kushan,25,30,27.5,75,200,250,,250,220-225 years,222.5,Empire,unknown,Southern Asia,"Bagram (Kapi?i) (Afghanistan),  Peshawar (Puru?apura) (Afghanistan), 
Taxila (Tak?a?il?) (Pakistan), 
Mathura (Mathur?) (India)","Taagepera (1979), early state formation and late state end from Seshat (2020), verified with Chakravarti (2016)",Conquered (vassal state to) by Sassanids.,,,,,Bagram,34.9403,Asia,69.255,Peshawar,34.01666667,71.58333333,Taxila,33.745833,72.7875,,FALSE
Gaya Confederacy,42,280,161,,,391,562,476.5,111-520 years,315.5,Confederacy,Kingdom,South-Eastern Asia,,Lee and Leidy (2013),Invasion by Silla.,,,,,,,,,,,,,,,,FALSE
Northen Huns,48,60,54,,,90,93,91.5,30-45 years,37.5,Confederacy,unknown,Eastern Asia,Unclear,"Taagepera (1979), Qiu (1993) for late state end date and early state formation",,,,,,Unclear,,,,,,,,,,,FALSE
Kshatrapa,100,,100,,100,405,,405,305-305 years,305,Empire,unknown,Southern Asia,"Ujjain,  Barygaza (India)",Taagepera (1979),,,,,,Ujjain,23.17,Asia,75.79,Barygaza,21.712,72.993,,,,,FALSE
Aksumite Empire/Kingdom of Aksum,150,,150,,,700,900,800,550-750 years,650,Empire,Kingdom,Eastern Africa,"Aksum, Jarma (or Kubar?)","Michels (2005), Philips (2016).",Empire collapse: late 6th century loss of external territories primarily to Persians and Arabians. State collapse: 10th Century invasion by Queen Gudit.,,,Post state collapse centre transferred to Kubar/ Jarma (unknown location) with cultural continuity until early 11th Century.,,,,,,,,,,,,,FALSE
Wei (Three Kingdoms),220,,220,,233,265,266,265.5,45-46 years,45.5,Empire,Imperial Dynasty,Eastern Asia,"Xuchang (220-226),[ Luoyang (226-266)","Taagepera (1979), late end date by Qiu (1993) and Wilkinson (2018), verified with Blitstein (2016)",Usurpation by the Jin dynasty.,,,,,Xuchang,34.037,Asia,113.852,Luoyang,34.66972222,112.4422222,,,,,FALSE
Shu (Three Kingdoms),221,,221,,221,263,,263,42-42 years,42,Empire,Imperial Dynasty,Eastern Asia,Chengdu,"Taagepera (1979), Qiu (1993), Wilkinson (2018), verified with Blitstein (2016)",Conquered by Wei.,,,,,Chengdu,30.657,Asia,104.066,,,,,,,,FALSE
